cast_id	cast_name
nm0014237	Alfredo Ahnert
nm0014247	Eero Aho
nm0014300	Staffan Ahrenberg
nm0014432	Ricardo Aibéo
nm0014488	Charles Aidikoff
nm0014493	Charles Aidman
nm0014551	Kazuyuki Aijima
nm0014558	Shô Aikawa
nm0014582	Liam Aiken
nm0014609	Troy Aikman
nm0014714	Scott Ainslie
nm0014718	Norman Anstey
nm0014748	Stephen Aintree
nm0014761	Roberto Airaldi
nm0014838	Bruno SX
nm0014873	Harvey Atkin
nm0015001	Ajith Kumar
nm0015060	Hidekazu Akai
nm0015081	Tarik Akan
nm0015121	Ezel Akay
nm0015124	Denis Akiyama
nm0015193	Jeremy Akerman
nm0015287	Javed Akhtar
nm0015382	Adewale Akinnuoye-Agbaje
nm0015445	Fethi Akkari
nm0015459	Nagarjuna Akkineni
nm0015566	Erol Aksoy
nm0015777	Nick Alachiotis
nm0015865	Zak Santiago
nm0015898	Alan
nm0015961	Bernard Alane
nm0016013	Luis Alarcón
nm0016039	Mario Alarcón
nm0016085	Joe Alaskey
nm0016089	Zeki Alasya
nm0016141	Carlos Alazraqui
nm0016175	Juan Alba
nm0016222	Zahim Albakri
nm0016263	Antonio Albanese
nm0016280	Vincenzo Albanese
nm0016332	Damon Albarn
nm0016336	Gerardo Albarrán
nm0016351	Paul Albe
nm0016361	Edward Albee
nm0016371	Sergio Albelli
nm0016428	Carles Alberola
nm0016729	Luís Alberto
nm0016850	Jens Albinus
